symbol,company_name,sector,market_cap,headquarters,exchange
360ONE,360 ONE WAM,Financial Services,,India,NSE
3MINDIA,3M India,Diversified,,India,NSE
AADHARHFC,Aadhar Housing Finance,Financial Services,,India,NSE
AARTIIND,Aarti Industries,Chemicals,,India,NSE
AAVAS,Aavas Financiers,Financial Services,,India,NSE
ABB,ABB India,Capital Goods,,India,NSE
ABBOTINDIA,Abbott India,Healthcare,,India,NSE
ABCAPITAL,Aditya Birla Capital,Financial Services,,India,NSE
ABFRL,Aditya Birla Fashion and Retail,Consumer Services,,India,NSE
ABLBL,Aditya Birla Lifestyle Brands,Consumer Services,,India,NSE
ABREL,Aditya Birla Real Estate,Forest Materials,,India,NSE
ABSLAMC,Aditya Birla Sun Life AMC,Financial Services,,India,NSE
ACC,ACC,Construction Materials,,India,NSE
ACE,Action Construction Equipment,Capital Goods,,India,NSE
ACMESOLAR,ACME Solar Holdings,Power,,India,NSE
ADANIENSOL,Adani Energy Solutions,Power,,India,NSE
ADANIENT,Adani Enterprises,Metals & Mining,,India,NSE
ADANIGREEN,Adani Green Energy,Power,,India,NSE
ADANIPORTS,Adani Ports and Special Economic Zone,Services,,India,NSE
ADANIPOWER,Adani Power,Power,,India,NSE
AEGISLOG,Aegis Logistics,Oil Gas & Consumable Fuels,,India,NSE
AEGISVOPAK,Aegis Vopak Terminals,Oil Gas & Consumable Fuels,,India,NSE
AFCONS,Afcons Infrastructure,Construction,,India,NSE
AFFLE,Affle 3i,Information Technology,,India,NSE
AGARWALEYE,Dr. Agarwal's Health Care,Healthcare,,India,NSE
AIAENG,AIA Engineering,Capital Goods,,India,NSE
AIIL,Authum Investment & Infrastructure,Financial Services,,India,NSE
AJANTPHARM,Ajanta Pharmaceuticals,Healthcare,,India,NSE
AKUMS,Akums Drugs and Pharmaceuticals,Healthcare,,India,NSE
AKZOINDIA,Akzo Nobel India,Consumer Durables,,India,NSE
ALKEM,Alkem Laboratories,Healthcare,,India,NSE
ALKYLAMINE,Alkyl Amines Chemicals,Chemicals,,India,NSE
ALOKINDS,Alok Industries,Textiles,,India,NSE
AMBER,Amber Enterprises India,Consumer Durables,,India,NSE
AMBUJACEM,Ambuja Cements,Construction Materials,,India,NSE
ANANDRATHI,Anand Rathi Wealth,Financial Services,,India,NSE
ANANTRAJ,Anant Raj,Realty,,India,NSE
ANGELONE,Angel One,Financial Services,,India,NSE
APARINDS,Apar Industries,Capital Goods,,India,NSE
APLAPOLLO,APL Apollo Tubes,Capital Goods,,India,NSE
APLLTD,Alembic Pharmaceuticals,Healthcare,,India,NSE
APOLLOHOSP,Apollo Hospitals Enterprise,Healthcare,,India,NSE
APOLLOTYRE,Apollo Tyres,Automobile and Auto Components,,India,NSE
APTUS,Aptus Value Housing Finance India,Financial Services,,India,NSE
ARE&M,Amara Raja Energy & Mobility,Automobile and Auto Components,,India,NSE
ASAHIINDIA,Asahi India Glass,Automobile and Auto Components,,India,NSE
ASHOKLEY,Ashok Leyland,Capital Goods,,India,NSE
ASIANPAINT,Asian Paints,Consumer Durables,,India,NSE
ASTERDM,Aster DM Healthcare,Healthcare,,India,NSE
ASTRAL,Astral,Capital Goods,,India,NSE
ASTRAZEN,AstraZenca Pharma India,Healthcare,,India,NSE
ATGL,Adani Total Gas,Oil Gas & Consumable Fuels,,India,NSE
ATHERENERG,Ather Energy,Automobile and Auto Components,,India,NSE
ATUL,Atul,Chemicals,,India,NSE
AUBANK,AU Small Finance Bank,Financial Services,,India,NSE
AUROPHARMA,Aurobindo Pharma,Healthcare,,India,NSE
AWL,AWL Agri Business,Fast Moving Consumer Goods,,India,NSE
AXISBANK,Axis Bank,Financial Services,,India,NSE
BAJAJ-AUTO,Bajaj Auto,Automobile and Auto Components,,India,NSE
BAJAJFINSV,Bajaj Finserv,Financial Services,,India,NSE
BAJAJHFL,Bajaj Housing Finance,Financial Services,,India,NSE
BAJAJHLDNG,Bajaj Holdings & Investment,Financial Services,,India,NSE
BAJFINANCE,Bajaj Finance,Financial Services,,India,NSE
BALKRISIND,Balkrishna Industries,Automobile and Auto Components,,India,NSE
BALRAMCHIN,Balrampur Chini Mills,Fast Moving Consumer Goods,,India,NSE
BANDHANBNK,Bandhan Bank,Financial Services,,India,NSE
BANKBARODA,Bank of Baroda,Financial Services,,India,NSE
BANKINDIA,Bank of India,Financial Services,,India,NSE
BASF,BASF India,Chemicals,,India,NSE
BATAINDIA,Bata India,Consumer Durables,,India,NSE
BAYERCROP,Bayer Cropscience,Chemicals,,India,NSE
BBTC,Bombay Burmah Trading Corporation,Fast Moving Consumer Goods,,India,NSE
BDL,Bharat Dynamics,Capital Goods,,India,NSE
BEL,Bharat Electronics,Capital Goods,,India,NSE
BEML,BEML,Capital Goods,,India,NSE
BERGEPAINT,Berger Paints India,Consumer Durables,,India,NSE
